바코드,제품명,구매가,판매가,카테고리,국가,매장시음 판매가,포도품종,테이크아웃 판매가,메모,입고가,수입사,생성일,수량
2051010888544,689 Cellars Master & Servant Napa Valley Cabernet Sauvignon 2019,0,0,U.S.A - Red,U.S.A,,,,689 셀러 마스터 & 서번트 나파밸리 카버네 쇼비뇽 2019,,,2022-09-07 19:26:33,1
2022202987710,Almaviva 2019,0,455000,Chile - Red,Chile,455000,Blend,,알마비바 2019,,,2022-03-25 18:53:03,1
8003911010603,Arione Canelli Moscato d'Asti,0,55000,Italy - White,Italy,55000,Muscat Blanc,25000,아리온 모스카토 다스티,,,2022-02-28 17:00:44,0
5010106110386,Ballentine's Aged 21 Years,0,400000,Whisky,Whisky,400000,,,발렌타인스 21년산,,,2022-06-30 15:47:24,3
8437005360013,Bodega Numanthia Numanthia 2015,0,118000,Spain - Red,spain,118000,Tempranillo,,보데가 누만시아 2015,,,2022-03-17 19:43:42,2
8809706767758,Bruno Giacosa Barolo Falletto 2017,0,450000,Italy - Red,Italy,450000,Nebbiolo,,브루노 지아코사 바롤로 팔레토 2017,,,2022-05-10 20:10:57,1
2073898037630,Bullrock Stout(Barrel Aged Imperial Stout),0,50000,Original Beer Company,OB Company,50000,,,불락 스타우트(배럴 에이지드 임페리얼 스타우트),,,2022-05-23 22:58:57,3
9314500092337,Cape Mentelle Cabernet Sauvignon 2014,0,150000,Australia - Red,Australia,150000,Cabernet Sauvignon,,케이프 멘텔 까베르네쇼비뇽 2014,,,2022-03-17 19:38:54,0
2056125826078,Cape Mentelle Sauvignon Blanc Semillon 2019,0,55000,Australia - White,Australia,55000,Sauvignon Blanc,32000,케이프 멘텔 쇼비뇽블랑 세미용 2019,,,2022-04-04 16:26:28,6
2053942603127,Cape Mentelle Shiraz Cabernet 2018,0,55000,Australia - Red,Australia,55000,Caber - Shiraz,35000,케이프 멘텔 까버쉬라즈 2018,,,2022-04-04 16:28:03,5
2017484595654,Casa Rojo Tinta Fina 2019,0,85000,Spain - Red,Spain,85000,Tempranillo,,까사 로호 틴타 피나 2019,,,2022-07-11 14:45:34,2
8809795473332,Caymus Vineyards Cabernet Sauvignon 2019,0,220000,U.S.A - Red,U.S.A,195000,Cabernet Sauvignon,,케이머스 빈야드 나파밸리 까베르네쇼비뇽 2019(750ml),,,2022-02-28 16:24:40,9
017224720102,Caymus Vineyards Napa Valley Cabernet Sauvignon Special Sellection 2017,0,580000,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,케이머스 빈야드 나파밸리 까베르네쇼비뇽 스페셜 셀렉션 2017,,,2022-07-06 18:11:57,4
2066577219199,Chappellet Cabernet Sauvignon(Signature) 2017,0,350000,U.S.A - Red,U.S.A,350000,Cabernet Sauvignon,,샤플렛 시그니쳐 나파밸리 카베르네 쇼비뇽 2017,,,2022-05-20 15:14:28,2
8809875611500,Chartogne Taillet Chemin de Reims Champagne,0,0,France - Sparkling,France,,,,샤르또뉴 따이에 슈망 드 렝스 샴페인,,,2022-08-03 17:43:36,2
2089817377121,Chartogne Taillet Sainte Anne Champagne,0,180000,France - Sparkling,France,180000,,,샤르또뉴 따이에 쌩뜨 안느 샴페인,,,2022-07-11 14:51:29,2
2095473048220,Chassagne Montrachet 1cru les Fairendes,0,220000,France - White,France,,,,,,,2022-06-10 22:59:08,1
8802521204729,Chateau Brane-Cantenac Margaux(Grand CRU Classe) 2016,0,250000,France - Red,France,250000,Blend,,샤또 브랑 깡뜨냑 마고 2016,,,2022-03-01 18:06:05,0
3339011711016,Chateau Cos d'Estournel Saint-Estephe2017,0,555000,France - Red,France,555000,Blend,,샤또 꼬스 데스투르넬 생떼 스테프 2017,,,2022-04-18 17:52:57,1
2076191529598,Chateau Giscours Margaux Grand CRU Classe 2017,0,250000,France - Red,France,,Blend,,샤또 지스꾸르 마고 그랑 크뤼 클라쎄 2017,,,2022-04-11 18:52:00,0
2088392694432,Chateau Haut-Brion Pessac-Leognan(Primer Grand CRU Classe) 2017,0,1450000,France - Red,France,,Blend,,샤또 오브리옹 프르미에 그랑 크루 클라쎄 2017,,,2022-02-28 14:17:46,1
2079337827398,Chateau Latour Grand Vin Pauillac(Premier Grand CRU Classe) 2013,0,1800000,France - Red,France,1800000,Blend,,샤또 라뚜르 프르미에 그랑 크루 클라쎄 뽀이약 2013,,,2022-02-28 14:12:39,1
2061667067803,Chateau Margaux(Primier Grand CRU Classe) 2013,0,1500000,France - Red,France,1500000,Blend,1300000,샤또 마고 프르미에 그랑 크루 클라쎄 2013,,,2022-02-28 14:10:49,2
2056548088121,Chateau Mouton Rothschild Pauillac 2014,0,0,France - Red,France,,Blend,,샤또 무똥 로칠드 뽀이약 2014,,,2022-04-11 18:41:43,1
2035017924207,Chateau Mouton Rothschild Pauillac 2018,0,0,France - Red,France,,Blend,,샤또 무똥 로칠드 뽀이약 2018,,,2022-04-11 18:45:08,0
3760167974718,Chateau d'Esclans Whispering Angel Rose 2020,0,58000,France - Rose,France,58000,Blend,,샤또 데스끌랑 위스퍼링 앤젤 2020,,,2022-03-01 16:52:49,0
817611097202,Clos du Val Cabernet Sauvignon 2016,0,180000,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,끌로 뒤 발 까베르네 쇼비뇽 2016,,,2022-04-13 16:47:58,4
8809552081305,Clos du Val Napa Valley Merlot 2018,0,0,U.S.A - Red,U.S.A,,Merlot,,끌로 뒤 발 나파밸리 멜롯 2018,,,2022-09-19 17:55:51,4
9418408080011,Cloudy Bay Pinot Noir 2019,0,108000,NewZealand - Red,NewZealand,108000,Pinot Noir,,클라우디 베이 피노누아 2019,,,2022-03-17 19:40:17,3
9418408030016,Cloudy Bay Sauvignon Blanc 2021,0,98000,NewZealand - White,NewZealand,98000,Sauvignon Blanc,,클라우디 베이 쇼비뇽 블랑 2021,,,2022-02-28 17:02:50,7
2074623787479,Cloudy bay Te Koko 2019,0,185000,NewZealand - White,NewZealand,185000,,135000,클라우디 베이 테 코코 2019,,,2022-04-05 00:00:34,0
2060590707572,Conundrum White Blend 2019,0,85000,U.S.A - White,U.S.A,85000,Blend,45000,코넌드럼 화이트와인 2019,,,2022-04-04 16:24:04,0
2055358992833,Copper Cane Belle Glos Clark & Telephone Pinot Noir 2020,0,0,U.S.A - Red,U.S.A,180000,Pinot Noir,110000,코퍼 케인 벨레 그로스 클락 & 텔레폰 피노누아 2020,,,2022-04-29 21:07:59,0
8809990237012,Cosmos Ale (Blere de Champagne),0,45000,Original Beer Company,OB Company,45000,,,코스모스 에일 (블레어 드 샴페인),,,2022-05-23 22:52:23,0
9320859000848,Cullen Mangan Vineyard Red Moon 2019,0,79000,Australia - Red,Australia,79000,Blend,45000,컬렌 망간 빈야드 레드 문 2019,,,2022-04-14 15:42:14,0
2048885795756,David Duband Grand CRU Clos Vougeot 2014,0,540000,France - Red,France,540000,,,다비드 뒤방 끌로 부조 그랑 크뤼 2014,,,2022-05-10 20:22:03,0
082242015486,Diora La Splendeur Du Soleil Chardonnay 2019,0,85000,U.S.A - White,U.S.A,85000,Chardonnay,55000,디오라 샤도네이 2019,35000,아영,2022-03-04 18:14:27,0
082242013079,Diora Pinot Noir 2018,0,85000,U.S.A - Red,U.S.A,85000,Pinot Noir,,디오라 피노누아,,,2022-04-12 17:47:36,1
850976007028,Dog Point Sauvignon Blanc 2018,0,88000,NewZealand - White,NewZealand,88000,Sauvignon Blanc,,도그 포인트 쇼비농블랑,,,2022-02-28 17:13:06,0
2001600133066,Dom Perignon Brut Champagne 2012,0,490000,France - Sparkling,France,490000,Blend,360000,돔 페리뇽 빈티지 2012,285000,,2022-03-10 19:29:42,3
2027553571250,Domaine Bertagna Bourgogne Chardonnay 'Les Croix Blanches' 2018,0,99000,France - White,France,99000,Chardonnay,,도멘 베르타냐 부르고뉴 샤도네이 '레 크로 블랑쉐' 2018,,,2022-04-14 15:46:10,2
3337690183957,Domaine Bouchard Pere & Fils Volnay 'les Caillerets' 1er CRU 2016,0,0,France - Red,France,,,,도멘 부샤 페레 & 필즈 볼네 '레 까이에레' 프르미에 크뤼 2016,,,2022-05-31 15:52:01,0
2063117634146,Domaine Chandon de Briailles Corton Grand CRU Blanc 2018,0,450000,France - White,France,450000,Chardonnay,,도멘 샹동 드 브리아이유 그랑 크루 꼬르똥 2018,,,2022-03-01 16:50:06,1
2012013951888,Domaine Chandon de Briailles Savigny-les-Beaune 'Aux Fournaux' 2018,0,180000,France - Red,France,185000,Pinot Noir,,도멘 샹동 드 브리아이 사비니레본 '오프루노' 2018,,,2022-05-17 16:05:13,0
8809802664517,Domaine Coche-Dury Meursault Blanc 2019,0,1650000,France - White,France,1650000,Chardonnay,1500000,꼬쉬듀리 메르소 2019,,,2022-03-22 17:45:15,1
8809521454239,Domaine Comte Senard Bourgogne Blanc 'Ana' 2018,0,95000,France - White,France,95000,Chardonnay,,도멘 꽁뜨 세나르 부르고뉴 블랑 '아나' 2018,,,2022-05-25 17:18:34,2
3434440002176,Domaine G&G.Bouvet Cremant de Savoie Victor Emmanuel 2015,0,0,France - Sparkling,France,,,,도멘 G&G.Bouvet 크레망 드 사부아 빅토르 엠마누엘 2015,,,2022-06-14 20:20:46,1
2075639509604,Domaine Jacques Prieur Gevrey-Chambertin 1er CRU 2019,0,350000,France - Red,France,350000,,,도멘 자크 프리외르 제브래 상베르땡 프리미에 크뤼 2019,,,2022-07-21 16:26:04,1
2096124505598,Domaine Jacques Prieur Meursault Clos de Mazeray Blanc 2019,0,250000,France - White,France,250000,,,도멘 자크 프리외르 뫼르소 끌로 드 마즈레 블랑 2019,,,2022-07-21 16:28:13,0
2032601441164,Domaine Jacques Prieur Volnay-Santenots 1er CRU 2019,0,250000,France - Red,France,250000,,,도멘 자크 프리외르 볼네-상트노 프리미에 크뤼 2019,,,2022-07-21 16:19:44,0
2091078520697,Domaine Jean Fery & Fils Corton Grand CRU 'Les Chaumes' 2019,0,355000,France - White,France,355000,Chardonnay,,도멘 장 페리 & 필즈 꼬르똥 그랑 크뤼 '레 숌' 2019,,,2022-05-25 17:14:49,0
2000706303434,Domaine Jean Fery & Fils Vosne-Romanee 2019,0,330000,France - Red,France,,,,도멘 장 페리 & 필즈 본-로마네 2019,,,2022-05-25 17:21:53,0
8809706768137,Domaine Jobard-Morey Meursault 'Les Narvaux' 2018,0,0,France - White,France,180000,Chardonnay,,도멘 조바르-모레이 뫼르소 '레 나르보' 2018,,,2022-05-23 15:14:36,0
8809847550608,Domaine Lecheneaut Gevrey-Chambertin 2019,0,0,France - Red,France,,,,도멘 레셔노 쥬브레 샹베르땡 2019,,,2022-09-07 19:45:09,2
3485851252285,Domaine Mia Clos la Marcge Mercurey Monopole 2019,0,135000,France - Red,France,135000,,,도멘 미아 끌로 드 라 마르슈 메르뀌레 모노폴 2019,,,2022-06-07 17:59:58,0
3485851252162,Domaine Mia Rully 'Les Plantenays' 2019,0,115000,France - White,France,115000,Chardonnay,,도멘 미아 뤼이 '레 플랑뜨네' 블랑 2019,,,2022-06-07 16:55:24,0
8809799335032,Domaine Michel Mallard Aloxe-Corton 1er CRU 'Les Valozieres' 2017,0,0,France - Red,France,,,,도멘 미셸 말라르 알록스 꼬르똥 프리미에 크뤼 '레 발로지에레' 2017,,,2022-09-07 19:43:08,1
8809799335018,Domaine Michel Mallard Bourgogne Cote-d'Or Chardonnay 2020,0,115000,France - White,France,115000,Chardonnay,,도멘 미셸 말라르 부르고뉴 꼬뜨 도르 샤도네이 블랑 2020,,,2022-06-07 16:53:07,2
8809799335025,Domaine Michel Mallard Ladoix 2018,0,155000,France - White,France,155000,,,도멘 미셸 말라르 라두와 블랑 2018,,,2022-06-07 17:17:24,0
2051182406256,Domaine Michel Noellat Clos de Vougeot Grand CRU 2017,0,495000,France - Red,France,495000,,,도멘 미쉘 노엘랏 끌로 드 부조 그랑 크뤼 2017,,,2022-04-18 18:01:44,1
8809799342566,Domaine Mongeard-Mugneret Bourgogne Pinot Noir 2020,0,110000,France - Red,France,,Pinot Noir,,도멘 몽제아-뮈네레 부르고뉴 피노누아 2020,,,2022-07-06 17:51:24,0
2035577571446,Domaine Perrot-Minot Clos Vougeot 2007,0,655000,France - Red,France,655000,,,도멘 페럿-미넛 끌로 부조 2007,,,2022-06-07 17:55:55,1
8809799339283,Domaine Philippe Charlopin Bourgogne Cote d'Or 2020,0,0,France - White,France,,Chardonnay,,도멘 필리페 샤를로팽 부르고뉴 꼬뜨 도르 2020,,,2022-07-11 18:12:26,4
8809642319448,Domaine Philippe Colin Chassagne-Montrachet 'Les Chenes' 2018,0,145000,France - Red,France,,,,도멘 필립 꼴랭 샤샤뉴 몽라쉐 '레 쉔' 2018,,,2022-07-06 17:57:09,0
